,site_location,Math_PercentConfluent,Metadata_site,Metadata_Well,Metadata_Site,Metadata_Plate
0,3,4.377269349944992,CP257N-Well6-3,Well6,3,CP257N
1,3,35.23500664253026,CP257A-Well3-3,Well3,3,CP257A
2,3,5.990803737465782,CP257J-Well3-3,Well3,3,CP257J
3,3,4.745810772017974,CP257L-Well2-3,Well2,3,CP257L
4,3,5.670778414005245,CP257L-Well3-3,Well3,3,CP257L
5,3,60.19541206457095,CP257D-Well3-3,Well3,3,CP257D
6,3,44.07420064507675,CP257D-Well2-3,Well2,3,CP257D
7,4,21.0505926214533,CP257D-Well3-4,Well3,4,CP257D
8,4,2.6173450058092955,CP257D-Well4-4,Well4,4,CP257D
9,4,2.6118191726664377,CP257D-Well5-4,Well5,4,CP257D
10,4,15.016166948227298,CP257F-Well3-4,Well3,4,CP257F
11,4,1.6072057367389276,CP257A-Well5-4,Well5,4,CP257A
12,4,4.941196006927419,CP257D-Well2-4,Well2,4,CP257D
13,4,8.002483442271513,CP257J-Well3-4,Well3,4,CP257J
14,4,3.0963314964544355,CP257J-Well5-4,Well5,4,CP257J
15,4,1.7103818285234602,CP257J-Well6-4,Well6,4,CP257J
16,4,2.402685536389255,CP257K-Well3-4,Well3,4,CP257K
17,4,36.82344147693018,CP257A-Well3-4,Well3,4,CP257A
18,4,5.702628810668157,CP257K-Well6-4,Well6,4,CP257K
19,4,1.2827191183844315,CP257B-Well3-4,Well3,4,CP257B
20,4,4.021553514743221,CP257J-Well2-4,Well2,4,CP257J
21,4,5.972542811187924,CP257J-Well1-4,Well1,4,CP257J
22,4,5.525677993792511,CP257L-Well5-4,Well5,4,CP257L
23,4,12.441717312718074,CP257A-Well2-4,Well2,4,CP257A
24,5,2.8150129361051577,CP257D-Well1-5,Well1,5,CP257D
25,5,3.3508972885780057,CP257J-Well3-5,Well3,5,CP257J
26,5,5.118808432377286,CP257F-Well6-5,Well6,5,CP257F
27,5,5.148172402492585,CP257F-Well3-5,Well3,5,CP257F
28,5,1.5943401294171975,CP257D-Well3-5,Well3,5,CP257D
29,5,0.8178891671784212,CP257N-Well3-5,Well3,5,CP257N
30,5,4.164119636256121,CP257D-Well4-5,Well4,5,CP257D
31,5,9.185952638214363,CP257D-Well5-5,Well5,5,CP257D
32,5,13.670287716847389,CP257A-Well3-5,Well3,5,CP257A
33,6,7.923847022391503,CP257D-Well6-6,Well6,6,CP257D
34,6,2.3100990878154053,CP257A-Well2-6,Well2,6,CP257A
35,6,19.97438936486792,CP257D-Well1-6,Well1,6,CP257D
36,6,13.626280538464886,CP257D-Well5-6,Well5,6,CP257D
37,6,0.8331612476425784,CP257L-Well4-6,Well4,6,CP257L
38,7,31.169062906741843,CP257D-Well5-7,Well5,7,CP257D
39,7,1.1046268433301063,CP257J-Well5-7,Well5,7,CP257J
40,7,6.998196913041862,CP257A-Well6-7,Well6,7,CP257A
41,7,38.85154809330013,CP257D-Well6-7,Well6,7,CP257D
42,7,2.0651631112725743,CP257N-Well4-7,Well4,7,CP257N
43,7,19.1023633572984,CP257D-Well1-7,Well1,7,CP257D
44,7,7.941012540690098,CP257L-Well6-7,Well6,7,CP257L
45,7,1.6356103229816323,CP257A-Well5-7,Well5,7,CP257A
46,7,3.5374737266419047,CP257L-Well2-7,Well2,7,CP257L
47,7,1.1877466896762143,CP257K-Well4-7,Well4,7,CP257K
48,7,1.2117011929986687,CP257K-Well5-7,Well5,7,CP257K
49,8,24.644290398182168,CP257L-Well3-8,Well3,8,CP257L
50,8,4.76741738196719,CP257F-Well5-8,Well5,8,CP257F
51,8,59.88493946294234,CP257D-Well6-8,Well6,8,CP257D
52,8,12.104772206707333,CP257A-Well6-8,Well6,8,CP257A
53,8,7.357946437710633,CP257D-Well5-8,Well5,8,CP257D
54,12,2.471442185002989,CP257N-Well3-12,Well3,12,CP257N
55,12,5.288630675909711,CP257A-Well6-12,Well6,12,CP257A
56,12,1.4602774770964309,CP257K-Well5-12,Well5,12,CP257K
57,12,24.960238934343067,CP257A-Well4-12,Well4,12,CP257A
58,12,6.223513732950631,CP257D-Well6-12,Well6,12,CP257D
59,12,6.558680546173453,CP257J-Well6-12,Well6,12,CP257J
60,12,9.551837934543626,CP257L-Well2-12,Well2,12,CP257L
61,12,19.80633073941314,CP257D-Well4-12,Well4,12,CP257D
62,12,1.4954258579661197,CP257L-Well4-12,Well4,12,CP257L
