Cell_Quality	Metadata_dataset_split	cell_count
Perfect	ALLBATCHES___ALLPLATES___ALLWELLS	17762442
Great	ALLBATCHES___ALLPLATES___ALLWELLS	3675506
Imperfect	ALLBATCHES___ALLPLATES___ALLWELLS	3565038
Bad	ALLBATCHES___ALLPLATES___ALLWELLS	14686005
Empty	ALLBATCHES___ALLPLATES___ALLWELLS	6682260
