Cell_Quality	cell_count	site	plate	well	site_location	Metadata_dataset_split
Empty	2898	CP257A-Well6-55	CP257A	Well6	55	ALLBATCHES___ALLPLATES___ALLWELLS
Great	1135	CP257A-Well6-55	CP257A	Well6	55	ALLBATCHES___ALLPLATES___ALLWELLS
Imperfect	783	CP257A-Well6-55	CP257A	Well6	55	ALLBATCHES___ALLPLATES___ALLWELLS
Perfect	5551	CP257A-Well5-83	CP257A	Well5	83	ALLBATCHES___ALLPLATES___ALLWELLS
Bad	4225	CP257A-Well5-83	CP257A	Well5	83	ALLBATCHES___ALLPLATES___ALLWELLS
Empty	2609	CP257A-Well5-83	CP257A	Well5	83	ALLBATCHES___ALLPLATES___ALLWELLS
Great	980	CP257A-Well5-83	CP257A	Well5	83	ALLBATCHES___ALLPLATES___ALLWELLS
Imperfect	731	CP257A-Well5-83	CP257A	Well5	83	ALLBATCHES___ALLPLATES___ALLWELLS
Perfect	3775	CP257A-Well2-77	CP257A	Well2	77	ALLBATCHES___ALLPLATES___ALLWELLS
Bad	3357	CP257A-Well2-77	CP257A	Well2	77	ALLBATCHES___ALLPLATES___ALLWELLS
Empty	1026	CP257A-Well2-77	CP257A	Well2	77	ALLBATCHES___ALLPLATES___ALLWELLS
Imperfect	783	CP257A-Well2-77	CP257A	Well2	77	ALLBATCHES___ALLPLATES___ALLWELLS
Great	713	CP257A-Well2-77	CP257A	Well2	77	ALLBATCHES___ALLPLATES___ALLWELLS
Perfect	4975	CP257A-Well3-49	CP257A	Well3	49	ALLBATCHES___ALLPLATES___ALLWELLS
Bad	4680	CP257A-Well3-49	CP257A	Well3	49	ALLBATCHES___ALLPLATES___ALLWELLS
Empty	2723	CP257A-Well3-49	CP257A	Well3	49	ALLBATCHES___ALLPLATES___ALLWELLS
Great	988	CP257A-Well3-49	CP257A	Well3	49	ALLBATCHES___ALLPLATES___ALLWELLS
Imperfect	809	CP257A-Well3-49	CP257A	Well3	49	ALLBATCHES___ALLPLATES___ALLWELLS
Perfect	1154	CP257A-Well4-93	CP257A	Well4	93	ALLBATCHES___ALLPLATES___ALLWELLS
Bad	961	CP257A-Well4-93	CP257A	Well4	93	ALLBATCHES___ALLPLATES___ALLWELLS
Empty	798	CP257A-Well4-93	CP257A	Well4	93	ALLBATCHES___ALLPLATES___ALLWELLS
Great	244	CP257A-Well4-93	CP257A	Well4	93	ALLBATCHES___ALLPLATES___ALLWELLS
Imperfect	144	CP257A-Well4-93	CP257A	Well4	93	ALLBATCHES___ALLPLATES___ALLWELLS
Perfect	4926	CP257A-Well6-37	CP257A	Well6	37	ALLBATCHES___ALLPLATES___ALLWELLS
Bad	4151	CP257A-Well6-37	CP257A	Well6	37	ALLBATCHES___ALLPLATES___ALLWELLS
Empty	1501	CP257A-Well6-37	CP257A	Well6	37	ALLBATCHES___ALLPLATES___ALLWELLS
Great	982	CP257A-Well6-37	CP257A	Well6	37	ALLBATCHES___ALLPLATES___ALLWELLS
Imperfect	913	CP257A-Well6-37	CP257A	Well6	37	ALLBATCHES___ALLPLATES___ALLWELLS
Perfect	3720	CP257A-Well5-65	CP257A	Well5	65	ALLBATCHES___ALLPLATES___ALLWELLS
Bad	3185	CP257A-Well5-65	CP257A	Well5	65	ALLBATCHES___ALLPLATES___ALLWELLS
Empty	999	CP257A-Well5-65	CP257A	Well5	65	ALLBATCHES___ALLPLATES___ALLWELLS
Imperfect	897	CP257A-Well5-65	CP257A	Well5	65	ALLBATCHES___ALLPLATES___ALLWELLS
Great	803	CP257A-Well5-65	CP257A	Well5	65	ALLBATCHES___ALLPLATES___ALLWELLS
Perfect	4589	CP257A-Well4-57	CP257A	Well4	57	ALLBATCHES___ALLPLATES___ALLWELLS
Bad	3624	CP257A-Well4-57	CP257A	Well4	57	ALLBATCHES___ALLPLATES___ALLWELLS
Empty	1230	CP257A-Well4-57	CP257A	Well4	57	ALLBATCHES___ALLPLATES___ALLWELLS
Great	795	CP257A-Well4-57	CP257A	Well4	57	ALLBATCHES___ALLPLATES___ALLWELLS
Imperfect	770	CP257A-Well4-57	CP257A	Well4	57	ALLBATCHES___ALLPLATES___ALLWELLS
Perfect	4167	CP257A-Well3-85	CP257A	Well3	85	ALLBATCHES___ALLPLATES___ALLWELLS
Bad	3608	CP257A-Well3-85	CP257A	Well3	85	ALLBATCHES___ALLPLATES___ALLWELLS
Empty	1043	CP257A-Well3-85	CP257A	Well3	85	ALLBATCHES___ALLPLATES___ALLWELLS
Imperfect	813	CP257A-Well3-85	CP257A	Well3	85	ALLBATCHES___ALLPLATES___ALLWELLS
Great	775	CP257A-Well3-85	CP257A	Well3	85	ALLBATCHES___ALLPLATES___ALLWELLS
Bad	2270	CP257A-Well5-29	CP257A	Well5	29	ALLBATCHES___ALLPLATES___ALLWELLS
Perfect	2149	CP257A-Well5-29	CP257A	Well5	29	ALLBATCHES___ALLPLATES___ALLWELLS
Imperfect	1040	CP257A-Well5-29	CP257A	Well5	29	ALLBATCHES___ALLPLATES___ALLWELLS
Great	505	CP257A-Well5-29	CP257A	Well5	29	ALLBATCHES___ALLPLATES___ALLWELLS
Empty	332	CP257A-Well5-29	CP257A	Well5	29	ALLBATCHES___ALLPLATES___ALLWELLS
Perfect	4633	CP257A-Well6-73	CP257A	Well6	73	ALLBATCHES___ALLPLATES___ALLWELLS
Bad	3926	CP257A-Well6-73	CP257A	Well6	73	ALLBATCHES___ALLPLATES___ALLWELLS
Empty	1770	CP257A-Well6-73	CP257A	Well6	73	ALLBATCHES___ALLPLATES___ALLWELLS
Great	1005	CP257A-Well6-73	CP257A	Well6	73	ALLBATCHES___ALLPLATES___ALLWELLS
Imperfect	962	CP257A-Well6-73	CP257A	Well6	73	ALLBATCHES___ALLPLATES___ALLWELLS
Perfect	4397	CP257A-Well1-69	CP257A	Well1	69	ALLBATCHES___ALLPLATES___ALLWELLS
Bad	3853	CP257A-Well1-69	CP257A	Well1	69	ALLBATCHES___ALLPLATES___ALLWELLS
Empty	1700	CP257A-Well1-69	CP257A	Well1	69	ALLBATCHES___ALLPLATES___ALLWELLS
Great	744	CP257A-Well1-69	CP257A	Well1	69	ALLBATCHES___ALLPLATES___ALLWELLS
Imperfect	686	CP257A-Well1-69	CP257A	Well1	69	ALLBATCHES___ALLPLATES___ALLWELLS
Perfect	3257	CP257A-Well2-68	CP257A	Well2	68	ALLBATCHES___ALLPLATES___ALLWELLS
Bad	2825	CP257A-Well2-68	CP257A	Well2	68	ALLBATCHES___ALLPLATES___ALLWELLS
Imperfect	891	CP257A-Well2-68	CP257A	Well2	68	ALLBATCHES___ALLPLATES___ALLWELLS
Empty	688	CP257A-Well2-68	CP257A	Well2	68	ALLBATCHES___ALLPLATES___ALLWELLS
Great	658	CP257A-Well2-68	CP257A	Well2	68	ALLBATCHES___ALLPLATES___ALLWELLS
Empty	8800	CP257A-Well1-96	CP257A	Well1	96	ALLBATCHES___ALLPLATES___ALLWELLS
Perfect	5040	CP257A-Well1-96	CP257A	Well1	96	ALLBATCHES___ALLPLATES___ALLWELLS
Bad	4954	CP257A-Well1-96	CP257A	Well1	96	ALLBATCHES___ALLPLATES___ALLWELLS
Great	1307	CP257A-Well1-96	CP257A	Well1	96	ALLBATCHES___ALLPLATES___ALLWELLS
Imperfect	405	CP257A-Well1-96	CP257A	Well1	96	ALLBATCHES___ALLPLATES___ALLWELLS
Perfect	5132	CP257A-Well4-84	CP257A	Well4	84	ALLBATCHES___ALLPLATES___ALLWELLS
Bad	3998	CP257A-Well4-84	CP257A	Well4	84	ALLBATCHES___ALLPLATES___ALLWELLS
Empty	1791	CP257A-Well4-84	CP257A	Well4	84	ALLBATCHES___ALLPLATES___ALLWELLS
Great	896	CP257A-Well4-84	CP257A	Well4	84	ALLBATCHES___ALLPLATES___ALLWELLS
Imperfect	879	CP257A-Well4-84	CP257A	Well4	84	ALLBATCHES___ALLPLATES___ALLWELLS
Perfect	2795	CP257A-Well6-28	CP257A	Well6	28	ALLBATCHES___ALLPLATES___ALLWELLS
Bad	2665	CP257A-Well6-28	CP257A	Well6	28	ALLBATCHES___ALLPLATES___ALLWELLS
Imperfect	1050	CP257A-Well6-28	CP257A	Well6	28	ALLBATCHES___ALLPLATES___ALLWELLS
Great	797	CP257A-Well6-28	CP257A	Well6	28	ALLBATCHES___ALLPLATES___ALLWELLS
Empty	543	CP257A-Well6-28	CP257A	Well6	28	ALLBATCHES___ALLPLATES___ALLWELLS
Perfect	5339	CP257A-Well5-56	CP257A	Well5	56	ALLBATCHES___ALLPLATES___ALLWELLS
Bad	4544	CP257A-Well5-56	CP257A	Well5	56	ALLBATCHES___ALLPLATES___ALLWELLS
Empty	3318	CP257A-Well5-56	CP257A	Well5	56	ALLBATCHES___ALLPLATES___ALLWELLS
Great	995	CP257A-Well5-56	CP257A	Well5	56	ALLBATCHES___ALLPLATES___ALLWELLS
Imperfect	614	CP257A-Well5-56	CP257A	Well5	56	ALLBATCHES___ALLPLATES___ALLWELLS
Perfect	3541	CP257A-Well4-48	CP257A	Well4	48	ALLBATCHES___ALLPLATES___ALLWELLS
Bad	3170	CP257A-Well4-48	CP257A	Well4	48	ALLBATCHES___ALLPLATES___ALLWELLS
Imperfect	892	CP257A-Well4-48	CP257A	Well4	48	ALLBATCHES___ALLPLATES___ALLWELLS
Great	751	CP257A-Well4-48	CP257A	Well4	48	ALLBATCHES___ALLPLATES___ALLWELLS
Empty	609	CP257A-Well4-48	CP257A	Well4	48	ALLBATCHES___ALLPLATES___ALLWELLS
Perfect	4080	CP257A-Well3-76	CP257A	Well3	76	ALLBATCHES___ALLPLATES___ALLWELLS
Bad	3742	CP257A-Well3-76	CP257A	Well3	76	ALLBATCHES___ALLPLATES___ALLWELLS
Empty	1235	CP257A-Well3-76	CP257A	Well3	76	ALLBATCHES___ALLPLATES___ALLWELLS
Great	821	CP257A-Well3-76	CP257A	Well3	76	ALLBATCHES___ALLPLATES___ALLWELLS
Imperfect	799	CP257A-Well3-76	CP257A	Well3	76	ALLBATCHES___ALLPLATES___ALLWELLS
Bad	2748	CP257A-Well6-64	CP257A	Well6	64	ALLBATCHES___ALLPLATES___ALLWELLS
Perfect	2204	CP257A-Well6-64	CP257A	Well6	64	ALLBATCHES___ALLPLATES___ALLWELLS
Imperfect	1436	CP257A-Well6-64	CP257A	Well6	64	ALLBATCHES___ALLPLATES___ALLWELLS
Great	767	CP257A-Well6-64	CP257A	Well6	64	ALLBATCHES___ALLPLATES___ALLWELLS
Empty	526	CP257A-Well6-64	CP257A	Well6	64	ALLBATCHES___ALLPLATES___ALLWELLS
Perfect	3774	CP257A-Well2-86	CP257A	Well2	86	ALLBATCHES___ALLPLATES___ALLWELLS
Bad	3360	CP257A-Well2-86	CP257A	Well2	86	ALLBATCHES___ALLPLATES___ALLWELLS
Empty	1001	CP257A-Well2-86	CP257A	Well2	86	ALLBATCHES___ALLPLATES___ALLWELLS
Imperfect	807	CP257A-Well2-86	CP257A	Well2	86	ALLBATCHES___ALLPLATES___ALLWELLS
Great	710	CP257A-Well2-86	CP257A	Well2	86	ALLBATCHES___ALLPLATES___ALLWELLS
Perfect	3403	CP257A-Well3-58	CP257A	Well3	58	ALLBATCHES___ALLPLATES___ALLWELLS
Bad	3049	CP257A-Well3-58	CP257A	Well3	58	ALLBATCHES___ALLPLATES___ALLWELLS
Imperfect	866	CP257A-Well3-58	CP257A	Well3	58	ALLBATCHES___ALLPLATES___ALLWELLS
Empty	674	CP257A-Well3-58	CP257A	Well3	58	ALLBATCHES___ALLPLATES___ALLWELLS
Great	674	CP257A-Well3-58	CP257A	Well3	58	ALLBATCHES___ALLPLATES___ALLWELLS
Empty	4610	CP257A-Well6-46	CP257A	Well6	46	ALLBATCHES___ALLPLATES___ALLWELLS
Perfect	3191	CP257A-Well6-46	CP257A	Well6	46	ALLBATCHES___ALLPLATES___ALLWELLS
Bad	2813	CP257A-Well6-46	CP257A	Well6	46	ALLBATCHES___ALLPLATES___ALLWELLS
Great	827	CP257A-Well6-46	CP257A	Well6	46	ALLBATCHES___ALLPLATES___ALLWELLS
Imperfect	240	CP257A-Well6-46	CP257A	Well6	46	ALLBATCHES___ALLPLATES___ALLWELLS
Bad	1922	CP257A-Well5-74	CP257A	Well5	74	ALLBATCHES___ALLPLATES___ALLWELLS
Imperfect	1473	CP257A-Well5-74	CP257A	Well5	74	ALLBATCHES___ALLPLATES___ALLWELLS
Perfect	1294	CP257A-Well5-74	CP257A	Well5	74	ALLBATCHES___ALLPLATES___ALLWELLS
Great	505	CP257A-Well5-74	CP257A	Well5	74	ALLBATCHES___ALLPLATES___ALLWELLS
Empty	144	CP257A-Well5-74	CP257A	Well5	74	ALLBATCHES___ALLPLATES___ALLWELLS
Perfect	3952	CP257A-Well4-66	CP257A	Well4	66	ALLBATCHES___ALLPLATES___ALLWELLS
Bad	3489	CP257A-Well4-66	CP257A	Well4	66	ALLBATCHES___ALLPLATES___ALLWELLS
Empty	1231	CP257A-Well4-66	CP257A	Well4	66	ALLBATCHES___ALLPLATES___ALLWELLS
Great	845	CP257A-Well4-66	CP257A	Well4	66	ALLBATCHES___ALLPLATES___ALLWELLS
Imperfect	786	CP257A-Well4-66	CP257A	Well4	66	ALLBATCHES___ALLPLATES___ALLWELLS
Perfect	2759	CP257A-Well3-94	CP257A	Well3	94	ALLBATCHES___ALLPLATES___ALLWELLS
Bad	2244	CP257A-Well3-94	CP257A	Well3	94	ALLBATCHES___ALLPLATES___ALLWELLS
Empty	618	CP257A-Well3-94	CP257A	Well3	94	ALLBATCHES___ALLPLATES___ALLWELLS
Imperfect	511	CP257A-Well3-94	CP257A	Well3	94	ALLBATCHES___ALLPLATES___ALLWELLS
Great	425	CP257A-Well3-94	CP257A	Well3	94	ALLBATCHES___ALLPLATES___ALLWELLS
Bad	3149	CP257A-Well5-38	CP257A	Well5	38	ALLBATCHES___ALLPLATES___ALLWELLS
Perfect	2890	CP257A-Well5-38	CP257A	Well5	38	ALLBATCHES___ALLPLATES___ALLWELLS
Imperfect	1191	CP257A-Well5-38	CP257A	Well5	38	ALLBATCHES___ALLPLATES___ALLWELLS
Great	1172	CP257A-Well5-38	CP257A	Well5	38	ALLBATCHES___ALLPLATES___ALLWELLS
Empty	601	CP257A-Well5-38	CP257A	Well5	38	ALLBATCHES___ALLPLATES___ALLWELLS
Perfect	3529	CP257A-Well1-78	CP257A	Well1	78	ALLBATCHES___ALLPLATES___ALLWELLS
Bad	3162	CP257A-Well1-78	CP257A	Well1	78	ALLBATCHES___ALLPLATES___ALLWELLS
Empty	1076	CP257A-Well1-78	CP257A	Well1	78	ALLBATCHES___ALLPLATES___ALLWELLS
Imperfect	833	CP257A-Well1-78	CP257A	Well1	78	ALLBATCHES___ALLPLATES___ALLWELLS
Great	832	CP257A-Well1-78	CP257A	Well1	78	ALLBATCHES___ALLPLATES___ALLWELLS
Perfect	4748	CP257A-Well2-60	CP257A	Well2	60	ALLBATCHES___ALLPLATES___ALLWELLS
Bad	4043	CP257A-Well2-60	CP257A	Well2	60	ALLBATCHES___ALLPLATES___ALLWELLS
Empty	2053	CP257A-Well2-60	CP257A	Well2	60	ALLBATCHES___ALLPLATES___ALLWELLS
Great	763	CP257A-Well2-60	CP257A	Well2	60	ALLBATCHES___ALLPLATES___ALLWELLS
Imperfect	673	CP257A-Well2-60	CP257A	Well2	60	ALLBATCHES___ALLPLATES___ALLWELLS
Perfect	4436	CP257A-Well3-32	CP257A	Well3	32	ALLBATCHES___ALLPLATES___ALLWELLS
Bad	3986	CP257A-Well3-32	CP257A	Well3	32	ALLBATCHES___ALLPLATES___ALLWELLS
Empty	1301	CP257A-Well3-32	CP257A	Well3	32	ALLBATCHES___ALLPLATES___ALLWELLS
Imperfect	785	CP257A-Well3-32	CP257A	Well3	32	ALLBATCHES___ALLPLATES___ALLWELLS
Great	769	CP257A-Well3-32	CP257A	Well3	32	ALLBATCHES___ALLPLATES___ALLWELLS
Perfect	2994	CP257A-Well1-16	CP257A	Well1	16	ALLBATCHES___ALLPLATES___ALLWELLS
Bad	2471	CP257A-Well1-16	CP257A	Well1	16	ALLBATCHES___ALLPLATES___ALLWELLS
Imperfect	832	CP257A-Well1-16	CP257A	Well1	16	ALLBATCHES___ALLPLATES___ALLWELLS
Great	654	CP257A-Well1-16	CP257A	Well1	16	ALLBATCHES___ALLPLATES___ALLWELLS
Empty	482	CP257A-Well1-16	CP257A	Well1	16	ALLBATCHES___ALLPLATES___ALLWELLS
Perfect	2119	CP257A-Well4-40	CP257A	Well4	40	ALLBATCHES___ALLPLATES___ALLWELLS
Bad	1761	CP257A-Well4-40	CP257A	Well4	40	ALLBATCHES___ALLPLATES___ALLWELLS
Imperfect	563	CP257A-Well4-40	CP257A	Well4	40	ALLBATCHES___ALLPLATES___ALLWELLS
Great	403	CP257A-Well4-40	CP257A	Well4	40	ALLBATCHES___ALLPLATES___ALLWELLS
Empty	336	CP257A-Well4-40	CP257A	Well4	40	ALLBATCHES___ALLPLATES___ALLWELLS
Perfect	3460	CP257A-Well5-12	CP257A	Well5	12	ALLBATCHES___ALLPLATES___ALLWELLS
Empty	3075	CP257A-Well5-12	CP257A	Well5	12	ALLBATCHES___ALLPLATES___ALLWELLS
Bad	3070	CP257A-Well5-12	CP257A	Well5	12	ALLBATCHES___ALLPLATES___ALLWELLS
Great	726	CP257A-Well5-12	CP257A	Well5	12	ALLBATCHES___ALLPLATES___ALLWELLS
Imperfect	387	CP257A-Well5-12	CP257A	Well5	12	ALLBATCHES___ALLPLATES___ALLWELLS
Perfect	3979	CP257A-Well1-52	CP257A	Well1	52	ALLBATCHES___ALLPLATES___ALLWELLS
Bad	3670	CP257A-Well1-52	CP257A	Well1	52	ALLBATCHES___ALLPLATES___ALLWELLS
Empty	1651	CP257A-Well1-52	CP257A	Well1	52	ALLBATCHES___ALLPLATES___ALLWELLS
Great	797	CP257A-Well1-52	CP257A	Well1	52	ALLBATCHES___ALLPLATES___ALLWELLS
Imperfect	651	CP257A-Well1-52	CP257A	Well1	52	ALLBATCHES___ALLPLATES___ALLWELLS
Perfect	3449	CP257A-Well2-24	CP257A	Well2	24	ALLBATCHES___ALLPLATES___ALLWELLS
Bad	2934	CP257A-Well2-24	CP257A	Well2	24	ALLBATCHES___ALLPLATES___ALLWELLS
Imperfect	920	CP257A-Well2-24	CP257A	Well2	24	ALLBATCHES___ALLPLATES___ALLWELLS
Great	780	CP257A-Well2-24	CP257A	Well2	24	ALLBATCHES___ALLPLATES___ALLWELLS
Empty	744	CP257A-Well2-24	CP257A	Well2	24	ALLBATCHES___ALLPLATES___ALLWELLS
Empty	5592	CP257A-Well4-22	CP257A	Well4	22	ALLBATCHES___ALLPLATES___ALLWELLS
Perfect	4454	CP257A-Well4-22	CP257A	Well4	22	ALLBATCHES___ALLPLATES___ALLWELLS
Bad	4160	CP257A-Well4-22	CP257A	Well4	22	ALLBATCHES___ALLPLATES___ALLWELLS
Great	1040	CP257A-Well4-22	CP257A	Well4	22	ALLBATCHES___ALLPLATES___ALLWELLS
Imperfect	338	CP257A-Well4-22	CP257A	Well4	22	ALLBATCHES___ALLPLATES___ALLWELLS
Empty	5027	CP257A-Well3-50	CP257A	Well3	50	ALLBATCHES___ALLPLATES___ALLWELLS
Perfect	5021	CP257A-Well3-50	CP257A	Well3	50	ALLBATCHES___ALLPLATES___ALLWELLS
Bad	5010	CP257A-Well3-50	CP257A	Well3	50	ALLBATCHES___ALLPLATES___ALLWELLS
Great	1266	CP257A-Well3-50	CP257A	Well3	50	ALLBATCHES___ALLPLATES___ALLWELLS
Imperfect	598	CP257A-Well3-50	CP257A	Well3	50	ALLBATCHES___ALLPLATES___ALLWELLS
Perfect	3584	CP257A-Well1-34	CP257A	Well1	34	ALLBATCHES___ALLPLATES___ALLWELLS
Bad	3204	CP257A-Well1-34	CP257A	Well1	34	ALLBATCHES___ALLPLATES___ALLWELLS
Empty	1012	CP257A-Well1-34	CP257A	Well1	34	ALLBATCHES___ALLPLATES___ALLWELLS
Imperfect	846	CP257A-Well1-34	CP257A	Well1	34	ALLBATCHES___ALLPLATES___ALLWELLS
Great	703	CP257A-Well1-34	CP257A	Well1	34	ALLBATCHES___ALLPLATES___ALLWELLS
Perfect	772	CP257A-Well5-30	CP257A	Well5	30	ALLBATCHES___ALLPLATES___ALLWELLS
Bad	678	CP257A-Well5-30	CP257A	Well5	30	ALLBATCHES___ALLPLATES___ALLWELLS
Imperfect	156	CP257A-Well5-30	CP257A	Well5	30	ALLBATCHES___ALLPLATES___ALLWELLS
Empty	152	CP257A-Well5-30	CP257A	Well5	30	ALLBATCHES___ALLPLATES___ALLWELLS
Great	131	CP257A-Well5-30	CP257A	Well5	30	ALLBATCHES___ALLPLATES___ALLWELLS
Perfect	4840	CP257A-Well3-14	CP257A	Well3	14	ALLBATCHES___ALLPLATES___ALLWELLS
Bad	4686	CP257A-Well3-14	CP257A	Well3	14	ALLBATCHES___ALLPLATES___ALLWELLS
Empty	3048	CP257A-Well3-14	CP257A	Well3	14	ALLBATCHES___ALLPLATES___ALLWELLS
Great	1008	CP257A-Well3-14	CP257A	Well3	14	ALLBATCHES___ALLPLATES___ALLWELLS
Imperfect	787	CP257A-Well3-14	CP257A	Well3	14	ALLBATCHES___ALLPLATES___ALLWELLS
Perfect	4626	CP257A-Well2-42	CP257A	Well2	42	ALLBATCHES___ALLPLATES___ALLWELLS
Bad	3902	CP257A-Well2-42	CP257A	Well2	42	ALLBATCHES___ALLPLATES___ALLWELLS
Empty	1372	CP257A-Well2-42	CP257A	Well2	42	ALLBATCHES___ALLPLATES___ALLWELLS
Great	791	CP257A-Well2-42	CP257A	Well2	42	ALLBATCHES___ALLPLATES___ALLWELLS
Imperfect	764	CP257A-Well2-42	CP257A	Well2	42	ALLBATCHES___ALLPLATES___ALLWELLS
Perfect	5479	CP257A-Well4-13	CP257A	Well4	13	ALLBATCHES___ALLPLATES___ALLWELLS
Bad	4714	CP257A-Well4-13	CP257A	Well4	13	ALLBATCHES___ALLPLATES___ALLWELLS
Empty	4281	CP257A-Well4-13	CP257A	Well4	13	ALLBATCHES___ALLPLATES___ALLWELLS
Great	1031	CP257A-Well4-13	CP257A	Well4	13	ALLBATCHES___ALLPLATES___ALLWELLS
Imperfect	636	CP257A-Well4-13	CP257A	Well4	13	ALLBATCHES___ALLPLATES___ALLWELLS
Perfect	3461	CP257A-Well3-41	CP257A	Well3	41	ALLBATCHES___ALLPLATES___ALLWELLS
Bad	3151	CP257A-Well3-41	CP257A	Well3	41	ALLBATCHES___ALLPLATES___ALLWELLS
Empty	774	CP257A-Well3-41	CP257A	Well3	41	ALLBATCHES___ALLPLATES___ALLWELLS
Imperfect	766	CP257A-Well3-41	CP257A	Well3	41	ALLBATCHES___ALLPLATES___ALLWELLS
Great	687	CP257A-Well3-41	CP257A	Well3	41	ALLBATCHES___ALLPLATES___ALLWELLS
Perfect	3516	CP257A-Well4-4	CP257A	Well4	4	ALLBATCHES___ALLPLATES___ALLWELLS
Empty	3256	CP257A-Well4-4	CP257A	Well4	4	ALLBATCHES___ALLPLATES___ALLWELLS
Bad	3205	CP257A-Well4-4	CP257A	Well4	4	ALLBATCHES___ALLPLATES___ALLWELLS
