Cell_Quality	cell_count	site	plate	well	site_location	Metadata_dataset_split
Perfect	4084	CP257A-Well2-59	CP257A	Well2	59	ALLBATCHES___ALLPLATES___ALLWELLS
Bad	3504	CP257A-Well2-59	CP257A	Well2	59	ALLBATCHES___ALLPLATES___ALLWELLS
Empty	1068	CP257A-Well2-59	CP257A	Well2	59	ALLBATCHES___ALLPLATES___ALLWELLS
Imperfect	775	CP257A-Well2-59	CP257A	Well2	59	ALLBATCHES___ALLPLATES___ALLWELLS
Great	690	CP257A-Well2-59	CP257A	Well2	59	ALLBATCHES___ALLPLATES___ALLWELLS
Perfect	4947	CP257A-Well1-87	CP257A	Well1	87	ALLBATCHES___ALLPLATES___ALLWELLS
Bad	4501	CP257A-Well1-87	CP257A	Well1	87	ALLBATCHES___ALLPLATES___ALLWELLS
Empty	2770	CP257A-Well1-87	CP257A	Well1	87	ALLBATCHES___ALLPLATES___ALLWELLS
Great	909	CP257A-Well1-87	CP257A	Well1	87	ALLBATCHES___ALLPLATES___ALLWELLS
Imperfect	717	CP257A-Well1-87	CP257A	Well1	87	ALLBATCHES___ALLPLATES___ALLWELLS
Bad	2519	CP257A-Well4-75	CP257A	Well4	75	ALLBATCHES___ALLPLATES___ALLWELLS
Perfect	2408	CP257A-Well4-75	CP257A	Well4	75	ALLBATCHES___ALLPLATES___ALLWELLS
Imperfect	1087	CP257A-Well4-75	CP257A	Well4	75	ALLBATCHES___ALLPLATES___ALLWELLS
Great	698	CP257A-Well4-75	CP257A	Well4	75	ALLBATCHES___ALLPLATES___ALLWELLS
Empty	458	CP257A-Well4-75	CP257A	Well4	75	ALLBATCHES___ALLPLATES___ALLWELLS
Bad	1932	CP257A-Well6-19	CP257A	Well6	19	ALLBATCHES___ALLPLATES___ALLWELLS
Perfect	1799	CP257A-Well6-19	CP257A	Well6	19	ALLBATCHES___ALLPLATES___ALLWELLS
Empty	521	CP257A-Well6-19	CP257A	Well6	19	ALLBATCHES___ALLPLATES___ALLWELLS
Imperfect	453	CP257A-Well6-19	CP257A	Well6	19	ALLBATCHES___ALLPLATES___ALLWELLS
Great	346	CP257A-Well6-19	CP257A	Well6	19	ALLBATCHES___ALLPLATES___ALLWELLS
Perfect	5830	CP257A-Well5-47	CP257A	Well5	47	ALLBATCHES___ALLPLATES___ALLWELLS
Bad	4936	CP257A-Well5-47	CP257A	Well5	47	ALLBATCHES___ALLPLATES___ALLWELLS
Empty	2796	CP257A-Well5-47	CP257A	Well5	47	ALLBATCHES___ALLPLATES___ALLWELLS
Great	992	CP257A-Well5-47	CP257A	Well5	47	ALLBATCHES___ALLPLATES___ALLWELLS
Imperfect	705	CP257A-Well5-47	CP257A	Well5	47	ALLBATCHES___ALLPLATES___ALLWELLS
Bad	2081	CP257A-Well4-39	CP257A	Well4	39	ALLBATCHES___ALLPLATES___ALLWELLS
Perfect	1903	CP257A-Well4-39	CP257A	Well4	39	ALLBATCHES___ALLPLATES___ALLWELLS
Imperfect	1090	CP257A-Well4-39	CP257A	Well4	39	ALLBATCHES___ALLPLATES___ALLWELLS
Great	621	CP257A-Well4-39	CP257A	Well4	39	ALLBATCHES___ALLPLATES___ALLWELLS
Empty	202	CP257A-Well4-39	CP257A	Well4	39	ALLBATCHES___ALLPLATES___ALLWELLS
Empty	5339	CP257A-Well2-95	CP257A	Well2	95	ALLBATCHES___ALLPLATES___ALLWELLS
Perfect	4953	CP257A-Well2-95	CP257A	Well2	95	ALLBATCHES___ALLPLATES___ALLWELLS
Bad	4551	CP257A-Well2-95	CP257A	Well2	95	ALLBATCHES___ALLPLATES___ALLWELLS
Great	1113	CP257A-Well2-95	CP257A	Well2	95	ALLBATCHES___ALLPLATES___ALLWELLS
Imperfect	584	CP257A-Well2-95	CP257A	Well2	95	ALLBATCHES___ALLPLATES___ALLWELLS
Perfect	4895	CP257A-Well3-67	CP257A	Well3	67	ALLBATCHES___ALLPLATES___ALLWELLS
Bad	4253	CP257A-Well3-67	CP257A	Well3	67	ALLBATCHES___ALLPLATES___ALLWELLS
Empty	1730	CP257A-Well3-67	CP257A	Well3	67	ALLBATCHES___ALLPLATES___ALLWELLS
Great	860	CP257A-Well3-67	CP257A	Well3	67	ALLBATCHES___ALLPLATES___ALLWELLS
Imperfect	760	CP257A-Well3-67	CP257A	Well3	67	ALLBATCHES___ALLPLATES___ALLWELLS
Perfect	4571	CP257A-Well6-55	CP257A	Well6	55	ALLBATCHES___ALLPLATES___ALLWELLS
Bad	4015	CP257A-Well6-55	CP257A	Well6	55	ALLBATCHES___ALLPLATES___ALLWELLS
